age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,technician,2,1,0,33,1,0,0,13,8,195,3,351,10,0,0
45,blue-collar,2,1,0,0,1,0,0,26,5,768,2,91,5,2,0
48,technician,0,1,1,20,0,0,0,27,1,145,3,-1,0,3,0
57,technician,1,3,0,206,1,0,2,5,8,216,3,-1,0,3,0
34,admin.,2,1,0,1,1,0,0,22,5,483,7,-1,0,3,0
27,admin.,1,1,0,-247,1,1,2,4,6,344,2,-1,0,3,0
50,blue-collar,1,1,0,606,1,0,2,14,8,673,2,-1,0,3,0
36,management,1,2,0,0,1,0,0,28,4,60,1,250,1,1,0
42,management,1,1,0,-189,1,0,2,12,8,247,2,-1,0,3,0
32,unemployed,2,1,0,0,0,0,0,27,8,123,2,-1,0,3,0
42,management,1,2,0,484,1,0,0,11,5,144,2,-1,0,3,0
43,technician,1,1,0,0,0,1,0,8,8,9,2,172,5,0,0
31,management,1,2,0,395,1,0,0,9,3,155,3,-1,0,3,0
55,blue-collar,0,0,0,410,0,1,0,11,5,221,2,-1,0,3,0
46,blue-collar,1,0,0,222,0,0,0,8,1,71,2,-1,0,3,0
55,blue-collar,1,1,0,989,1,1,2,23,8,246,4,-1,0,3,0
34,management,1,2,0,415,0,1,0,23,5,361,2,-1,0,3,0
28,unemployed,2,1,0,16,0,0,0,12,1,119,4,-1,0,3,0
29,blue-collar,2,1,0,482,0,1,0,10,5,1097,3,-1,0,3,1
54,housemaid,1,1,0,209,1,1,0,25,5,97,1,-1,0,3,0
32,technician,2,1,0,0,0,0,0,26,1,181,2,-1,0,3,0
53,entrepreneur,1,2,0,624,0,1,0,21,5,180,4,-1,0,3,0
58,technician,1,2,0,883,0,0,0,18,1,543,1,78,2,0,0
29,student,2,1,0,872,1,0,2,7,8,230,1,-1,0,3,0
38,admin.,2,1,0,902,1,0,1,31,5,58,13,-1,0,3,0
40,services,1,1,0,0,1,0,0,2,6,297,1,28,3,0,0
24,blue-collar,2,1,0,174,1,1,0,18,8,487,1,-1,0,3,1
35,self-employed,1,1,0,524,1,0,0,21,9,484,4,-1,0,3,0
35,blue-collar,2,2,0,0,1,0,0,21,5,262,4,-1,0,3,0
34,technician,1,1,0,4,1,0,2,15,8,644,1,-1,0,3,0
38,technician,2,2,0,0,0,0,0,28,1,247,2,-1,0,3,0
51,blue-collar,0,0,0,37,1,0,0,13,8,341,1,-1,0,3,0
59,self-employed,1,2,0,593,0,0,2,13,8,64,2,-1,0,3,0
42,admin.,0,1,0,63,0,0,2,16,8,88,6,-1,0,3,0
40,student,1,1,0,260,0,0,2,20,6,197,6,-1,0,3,0
27,self-employed,1,1,0,-220,1,0,2,26,8,138,2,-1,0,3,0
41,management,1,2,0,49,1,0,0,17,5,312,5,-1,0,3,0
34,admin.,1,2,0,69,0,1,0,4,1,120,3,1,6,2,1
47,blue-collar,1,1,0,480,1,0,2,28,8,211,2,-1,0,3,0
53,technician,0,1,0,0,1,1,0,15,5,135,5,-1,0,3,0
29,management,1,2,0,451,0,0,0,28,4,451,1,-1,0,3,0
45,blue-collar,0,0,0,-311,1,0,2,23,8,1030,1,-1,0,3,1
38,entrepreneur,1,1,0,593,1,1,0,24,5,1484,24,-1,0,3,1
32,blue-collar,1,1,0,759,1,0,0,9,0,317,5,-1,0,3,1
56,blue-collar,1,1,0,345,1,0,1,22,5,605,1,-1,0,3,0
56,management,1,3,0,353,0,1,0,25,5,171,2,-1,0,3,0
56,technician,1,1,0,205,0,1,0,23,5,442,2,-1,0,3,0
49,entrepreneur,1,1,0,687,1,0,0,17,0,772,1,-1,0,3,1
38,admin.,1,2,0,605,0,0,0,18,9,147,2,-1,0,3,0
55,management,1,3,0,559,0,0,0,28,4,271,2,-1,0,3,0
43,blue-collar,2,0,0,2,1,0,0,30,5,783,3,-1,0,3,0
43,management,1,2,0,2,0,1,0,20,1,472,2,-1,0,3,0
25,admin.,2,2,0,760,1,0,0,27,8,223,3,89,2,0,1
46,blue-collar,1,1,0,182,0,0,0,4,3,56,1,-1,0,3,0
50,admin.,1,0,0,276,0,1,2,17,6,641,6,-1,0,3,0
37,blue-collar,1,1,0,-67,0,0,0,2,3,157,1,-1,0,3,0
60,self-employed,2,2,0,179,0,1,0,29,5,79,4,-1,0,3,0
47,blue-collar,1,0,0,214,1,1,2,9,6,168,1,-1,0,3,0
35,entrepreneur,2,2,0,145,1,0,0,18,5,799,2,-1,0,3,1
35,unemployed,1,1,0,978,0,0,0,29,2,1370,3,209,3,2,1
37,admin.,1,1,0,121,0,0,0,22,5,22,6,-1,0,3,0
29,technician,2,2,0,828,1,0,0,16,0,215,3,321,3,1,0
34,admin.,1,1,0,244,1,0,0,31,5,56,4,-1,0,3,0
32,services,1,0,0,228,1,0,0,21,5,1017,6,-1,0,3,1
30,management,2,2,0,424,0,0,0,16,0,298,4,-1,0,3,1
47,management,0,2,0,447,0,1,2,7,8,126,1,-1,0,3,0
33,blue-collar,1,0,0,-195,0,0,2,20,11,9,1,-1,0,3,0
41,management,1,2,0,832,1,1,0,21,9,164,1,176,1,0,0
56,retired,1,2,0,478,0,0,0,5,3,97,1,-1,0,3,0
60,management,2,2,0,0,0,1,0,23,5,151,1,-1,0,3,0
37,management,2,3,0,504,1,0,0,16,0,555,1,-1,0,3,0
36,blue-collar,2,1,0,219,1,1,0,11,8,270,2,347,1,0,0
44,admin.,1,1,0,0,1,1,2,16,8,159,1,-1,0,3,0
35,management,1,2,1,32,1,0,0,21,9,180,1,-1,0,3,0
39,management,1,2,0,278,0,1,0,28,5,60,3,-1,0,3,0
50,management,1,2,0,4,0,0,0,17,9,223,1,96,2,0,0
29,management,1,2,0,318,1,0,0,18,8,1434,2,356,4,0,0
30,services,2,1,0,209,1,0,2,6,8,30,2,-1,0,3,0
46,services,1,1,0,271,1,0,2,16,8,134,4,-1,0,3,0
36,management,2,2,0,339,0,0,0,21,9,6,6,-1,0,3,0
42,blue-collar,1,0,0,0,1,1,0,7,8,209,2,-1,0,3,0
50,housemaid,1,0,0,395,1,0,2,15,8,419,2,-1,0,3,0
23,student,2,1,0,780,0,0,0,16,11,267,1,-1,0,3,0
38,technician,2,1,0,0,1,0,0,7,0,196,2,-1,0,3,0
30,entrepreneur,1,1,0,946,1,0,0,19,9,1065,1,183,1,1,0
58,housemaid,1,2,0,497,0,0,2,11,6,138,5,-1,0,3,0
60,retired,1,0,0,55,0,0,0,4,6,207,1,-1,0,3,0
38,services,1,1,0,-140,0,0,2,25,6,456,3,-1,0,3,0
51,technician,1,1,0,-379,1,0,0,5,1,261,1,-1,0,3,0
42,admin.,1,1,0,-396,1,0,0,11,8,80,1,308,4,0,0
30,services,2,1,0,0,1,0,0,18,8,131,6,363,9,0,0
40,management,1,0,0,733,1,0,2,6,6,94,7,-1,0,3,0
37,management,1,2,0,393,1,0,0,14,8,567,3,275,4,0,1
27,services,2,1,0,468,1,0,0,13,8,109,1,-1,0,3,0
39,blue-collar,1,1,0,0,1,0,0,30,0,53,1,325,1,0,0
41,blue-collar,1,0,0,8,1,0,0,15,5,155,2,-1,0,3,0
45,blue-collar,1,0,0,61,0,0,0,17,0,108,1,-1,0,3,0
48,technician,1,1,0,302,1,0,2,26,8,208,3,-1,0,3,0
35,services,1,1,0,109,1,0,2,6,8,597,3,-1,0,3,0
28,blue-collar,2,0,0,0,1,1,2,3,6,380,4,-1,0,3,0
35,technician,1,1,0,0,0,0,0,27,1,106,4,-1,0,3,0
33,blue-collar,1,1,0,43,1,0,0,14,8,332,2,358,2,0,0
41,technician,1,1,0,288,1,0,2,15,8,221,4,-1,0,3,0
34,admin.,1,1,0,613,1,0,0,4,6,80,1,-1,0,3,0
38,blue-collar,1,0,0,168,1,1,1,13,8,212,3,-1,0,3,0
28,blue-collar,2,1,0,517,0,1,0,8,5,681,1,-1,0,3,1
27,blue-collar,2,1,0,148,0,0,0,22,5,203,1,-1,0,3,0
48,retired,1,0,1,-285,0,1,0,19,9,157,1,-1,0,3,0
50,blue-collar,1,1,0,887,0,0,2,16,6,287,1,-1,0,3,0
41,technician,1,2,0,744,1,0,2,14,8,125,1,-1,0,3,0
39,technician,1,1,0,130,0,0,0,8,5,202,2,-1,0,3,0
44,management,1,1,0,438,1,0,1,8,8,37,3,303,1,0,0
54,admin.,1,1,0,0,0,0,0,28,4,161,1,98,2,0,1
49,management,1,2,0,322,0,0,0,6,1,72,4,-1,0,3,0
34,blue-collar,2,1,0,186,0,0,0,2,3,342,1,-1,0,3,0
42,management,1,2,0,0,0,0,0,13,1,325,2,-1,0,3,0
49,management,0,2,0,755,0,0,0,31,5,1212,4,-1,0,3,1
45,blue-collar,2,0,0,999,0,0,0,29,4,182,2,-1,0,3,0
39,self-employed,1,1,0,167,1,1,0,17,5,330,1,-1,0,3,0
37,management,1,2,0,502,1,0,0,7,8,551,1,351,1,0,0
37,management,2,2,0,876,1,0,0,15,0,140,4,327,2,0,0
36,services,2,1,0,342,1,0,2,7,8,142,1,-1,0,3,0
29,blue-collar,2,0,0,950,1,0,2,4,6,135,3,-1,0,3,0
36,blue-collar,1,0,0,973,1,1,2,23,8,293,1,-1,0,3,0
40,management,1,2,0,542,1,0,0,20,9,1816,1,-1,0,3,0
53,management,1,0,0,995,0,0,0,4,3,200,3,-1,0,3,0
29,management,1,2,0,20,1,0,0,12,8,418,1,-1,0,3,0
34,technician,2,2,0,228,1,0,0,22,5,387,4,-1,0,3,0
43,blue-collar,1,1,0,130,0,0,0,5,8,156,1,337,3,0,0
56,management,1,2,0,217,0,1,0,21,5,121,2,-1,0,3,0
55,entrepreneur,0,2,0,0,0,0,2,6,6,108,2,-1,0,3,0
31,self-employed,1,2,0,259,1,0,0,7,8,47,1,-1,0,3,0
27,admin.,2,1,0,619,1,0,0,20,0,16,5,322,4,1,0
36,management,1,1,0,644,1,0,0,18,9,54,2,-1,0,3,0
44,management,1,2,0,22,1,0,0,6,1,265,2,-1,0,3,0
30,admin.,2,1,0,239,1,0,0,7,8,115,3,-1,0,3,0
42,technician,2,1,0,275,0,0,0,26,1,31,8,-1,0,3,0
62,retired,1,1,0,816,0,0,0,1,11,28,2,-1,0,3,0
47,admin.,1,1,0,2,0,0,0,10,5,89,1,-1,0,3,0
39,entrepreneur,1,2,0,2,1,0,0,17,9,180,1,-1,0,3,0
35,admin.,0,1,0,-402,1,0,0,17,0,46,1,-1,0,3,0
32,blue-collar,1,1,0,34,1,0,0,5,8,321,2,-1,0,3,0
44,management,1,2,0,795,0,0,0,28,1,99,24,-1,0,3,0
42,blue-collar,1,1,0,117,1,0,2,9,8,147,1,-1,0,3,0
25,services,2,1,0,402,0,1,0,7,5,264,1,-1,0,3,0
40,technician,2,1,0,641,0,0,0,16,5,156,6,-1,0,3,0
43,management,0,2,0,36,0,0,0,26,8,118,1,102,2,0,0
55,unemployed,1,2,0,383,0,0,2,6,8,343,3,-1,0,3,0
50,blue-collar,1,1,0,283,1,0,0,7,1,226,3,-1,0,3,0
45,management,0,2,0,0,0,0,2,1,6,5,1,-1,0,3,0
32,blue-collar,1,1,0,889,1,0,0,10,11,185,1,99,5,2,1
59,housemaid,1,1,0,0,0,0,1,3,3,722,1,99,4,0,0
34,self-employed,1,1,0,-370,1,0,2,21,8,748,1,-1,0,3,0
55,self-employed,1,1,0,-196,1,0,2,20,8,210,2,-1,0,3,0
38,entrepreneur,1,1,1,15,1,0,0,10,5,121,1,-1,0,3,0
41,management,1,2,0,666,1,0,2,21,8,253,3,-1,0,3,0
57,blue-collar,1,0,0,452,1,0,2,13,8,139,4,-1,0,3,0
48,blue-collar,1,1,0,149,1,0,2,9,8,71,1,-1,0,3,0
37,management,2,3,0,715,1,0,2,20,8,247,2,-1,0,3,0
56,management,2,1,0,237,1,0,1,9,5,236,4,-1,0,3,0
40,technician,1,1,0,694,1,0,0,4,3,97,4,196,5,0,0
40,management,1,2,0,0,0,0,0,14,5,109,8,-1,0,3,0
54,management,1,2,0,55,1,0,0,2,6,112,2,-1,0,3,0
55,housemaid,1,0,0,136,1,0,2,19,6,15,10,-1,0,3,0
55,services,0,1,1,-404,1,0,0,22,5,502,3,-1,0,3,0
52,blue-collar,1,0,0,779,1,0,2,16,8,30,3,-1,0,3,0
33,management,1,2,0,641,1,0,0,13,1,347,2,-1,0,3,0
52,blue-collar,1,3,0,826,1,0,2,15,8,468,2,-1,0,3,0
33,services,0,1,0,991,1,0,2,27,8,148,1,-1,0,3,0
46,admin.,1,1,0,22,0,0,0,26,1,388,6,-1,0,3,1
44,technician,2,1,0,244,1,0,0,12,1,1735,4,-1,0,3,1
38,technician,2,1,0,258,0,1,2,20,6,587,2,-1,0,3,0
42,management,2,2,0,515,1,0,0,19,9,501,2,-1,0,3,0
58,admin.,1,1,0,2,1,1,1,25,5,282,9,-1,0,3,0
31,management,1,2,0,13,0,0,0,28,1,110,5,-1,0,3,0
19,student,2,0,0,103,0,0,0,10,5,104,2,-1,0,3,1
31,unemployed,1,1,0,296,1,0,2,20,8,378,3,-1,0,3,0
52,self-employed,2,0,0,217,0,1,0,15,5,193,6,-1,0,3,0
42,self-employed,0,2,0,360,1,0,2,24,6,110,5,-1,0,3,0
41,blue-collar,2,1,0,428,1,0,0,12,8,92,1,-1,0,3,0
30,blue-collar,2,1,0,315,0,0,0,23,6,1407,1,-1,0,3,1
38,blue-collar,1,1,0,121,1,1,0,6,3,168,1,212,2,0,0
32,management,1,2,0,820,1,0,0,17,5,738,3,-1,0,3,0
52,technician,1,1,0,195,1,0,0,18,3,220,1,63,5,0,1
48,management,0,2,0,108,1,0,2,27,8,89,2,-1,0,3,0
36,management,1,2,0,-381,1,0,0,31,5,30,29,-1,0,3,0
45,unemployed,0,0,0,757,0,0,0,20,0,103,1,325,4,0,0
34,technician,1,2,0,691,1,1,2,2,6,70,1,-1,0,3,0
34,management,1,2,0,902,1,0,0,14,8,159,1,367,2,1,0
54,services,1,1,0,0,0,0,2,19,6,220,1,-1,0,3,0
50,entrepreneur,1,1,0,665,0,0,1,17,9,238,1,-1,0,3,0
43,admin.,0,1,0,738,1,0,0,21,9,585,4,191,4,0,0
47,blue-collar,1,0,0,233,0,0,0,8,1,293,3,-1,0,3,0
49,unemployed,0,1,0,66,0,0,0,9,5,218,3,-1,0,3,0
32,services,2,1,0,182,1,0,0,6,8,145,1,-1,0,3,0
58,management,1,0,0,76,1,0,1,18,8,54,4,-1,0,3,0
34,admin.,2,1,0,663,1,0,0,20,0,111,1,-1,0,3,0
29,blue-collar,1,1,0,15,0,0,0,3,6,136,1,-1,0,3,0
26,management,2,1,0,63,0,0,0,28,5,76,4,-1,0,3,0
40,technician,1,2,0,0,0,0,0,19,1,44,1,-1,0,3,0
41,admin.,1,1,0,920,1,1,2,27,8,239,1,-1,0,3,0
27,technician,2,3,0,59,0,0,0,15,5,792,4,-1,0,3,0
27,services,1,1,0,0,1,0,0,23,5,198,13,-1,0,3,0
48,blue-collar,1,1,0,157,1,0,2,6,8,73,1,-1,0,3,0
35,blue-collar,1,0,0,0,1,0,0,24,5,90,6,-1,0,3,0
47,self-employed,1,1,1,2,0,0,0,5,3,236,2,-1,0,3,0
54,management,1,2,0,0,0,0,0,16,5,118,5,-1,0,3,0
28,student,2,1,0,378,1,0,0,17,0,346,1,-1,0,3,0
54,blue-collar,1,0,0,211,0,0,2,19,6,200,2,-1,0,3,0
34,technician,1,1,0,-228,1,0,0,20,0,187,3,332,3,1,0
41,blue-collar,1,1,1,720,0,1,0,24,5,651,1,-1,0,3,1
36,services,1,1,0,-302,1,0,0,13,8,36,2,-1,0,3,0
35,blue-collar,1,1,0,-339,1,0,2,8,8,389,2,-1,0,3,0
40,technician,1,1,0,56,1,1,0,29,4,194,1,247,1,0,0
26,self-employed,2,2,0,211,0,0,0,29,4,168,3,-1,0,3,0
59,unemployed,1,0,0,0,0,0,0,30,4,3025,2,-1,0,3,0
28,student,2,1,0,459,0,0,0,16,7,83,13,-1,0,3,0
46,entrepreneur,1,3,0,242,1,0,2,9,8,332,2,-1,0,3,0
81,retired,1,1,0,1,0,0,0,19,1,65,5,-1,0,3,0
35,services,0,1,0,67,1,0,0,5,8,192,2,-1,0,3,0
58,retired,1,3,0,937,0,0,0,5,1,155,1,-1,0,3,0
44,services,1,1,0,0,1,1,0,11,8,161,1,-1,0,3,0
49,blue-collar,1,1,0,171,0,0,0,4,3,19,3,175,2,1,0
33,technician,2,2,0,696,0,1,0,5,3,193,1,176,8,0,0
29,management,1,2,0,361,1,1,0,28,5,819,3,-1,0,3,0
28,technician,2,1,0,227,0,0,0,30,0,278,1,-1,0,3,1
31,admin.,1,1,0,236,1,1,1,4,8,211,3,-1,0,3,0
33,management,2,2,0,-53,0,0,0,29,4,617,2,-1,0,3,0
52,technician,1,1,0,192,1,0,0,23,5,61,2,-1,0,3,0
43,management,0,2,0,38,1,0,0,25,5,197,6,-1,0,3,0
32,self-employed,2,1,0,518,1,0,0,18,8,34,7,-1,0,3,0
